Iteration,Time taken without RTS,Number of Changed Files,Percentage of Selected Tests,Time taken with RTS,Saved Time,Ratio (with/without RTS)
1,29.063303790999996,19, 0,16.326636709,12.736667081999997,0.5617612101641333
2,34.279438,2, 0,48.41904904199998,-14.139611041999984,1.4124808301116252
3,34.56369587500001,39, 0,17.954827332999997,16.60886854200001,0.5194707012217047
4,34.715212208,1, 0,24.244037708000036,10.471174499999961,0.6983692786533819
