Iteration,Time taken without RTS,Number of Changed Files,Percentage of Selected Tests,Time taken with RTS,Saved Time,Ratio (with/without RTS)
1,4.410192500000001,1, 0,5.516306125000002,-1.1061136250000008,1.250808468111086
2,3.6036990410000023,5, 0,4.700998584000001,-1.0972995429999983,1.304492559038866
3,3.432030124999997,2, 0,4.8275892499999955,-1.3955591249999983,1.406627877428669
4,3.9680443339999982,2, 0,12.355172332999999,-8.387127999,3.113667916241584
5,3.5113335420000027,1, 0,6.679355666999996,-3.168022124999993,1.9022276258026845
